station_id,timestamp,parking_count,hour,day_of_week,is_weekend
ST-1689,2025-12-26T08:19:38.171949,22,8,4,0
ST-1332,2025-12-26T08:19:38.172080,26,8,4,0
ST-111,2025-12-26T08:19:38.171591,4,8,4,0
ST-578,2025-12-26T08:19:38.172029,8,8,4,0
ST-1515,2025-12-26T08:19:38.171944,8,8,4,0
ST-4,2025-12-26T08:19:38.171334,13,8,4,0
ST-511,2025-12-26T08:19:38.171901,1,8,4,0
ST-398,2025-12-26T08:19:38.171651,12,8,4,0
ST-568,2025-12-26T08:19:38.172054,8,8,4,0
ST-547,2025-12-26T08:19:38.171983,53,8,4,0
ST-539,2025-12-26T08:19:38.171962,3,8,4,0
ST-1098,2025-12-26T08:19:38.172078,22,8,4,0
ST-185,2025-12-26T08:19:38.171505,12,8,4,0
ST-1850,2025-12-26T08:19:38.171894,10,8,4,0
ST-1342,2025-12-26T08:19:38.171720,4,8,4,0
ST-177,2025-12-26T08:19:38.171497,1,8,4,0
ST-232,2025-12-26T08:19:38.171422,12,8,4,0
ST-205,2025-12-26T08:19:38.171400,13,8,4,0
ST-413,2025-12-26T08:19:38.171443,31,8,4,0
ST-1775,2025-12-26T08:19:38.171559,7,8,4,0
ST-2223,2025-12-26T08:19:38.172042,23,8,4,0
ST-360,2025-12-26T08:19:38.171617,20,8,4,0
ST-522,2025-12-26T08:19:38.171907,13,8,4,0
ST-839,2025-12-26T08:19:38.171972,22,8,4,0
ST-51,2025-12-26T08:19:38.171428,9,8,4,0
ST-1675,2025-12-26T08:19:38.171544,15,8,4,0
ST-2222,2025-12-26T08:19:38.172040,6,8,4,0
ST-1375,2025-12-26T08:19:38.172085,52,8,4,0
ST-118,2025-12-26T08:19:38.171466,5,8,4,0
ST-1341,2025-12-26T08:19:38.171718,6,8,4,0
ST-175,2025-12-26T08:19:38.171495,26,8,4,0
ST-1436,2025-12-26T08:19:38.171530,26,8,4,0
ST-243,2025-12-26T08:19:38.171602,20,8,4,0
ST-857,2025-12-26T08:19:38.172074,5,8,4,0
ST-50,2025-12-26T08:19:38.171430,31,8,4,0
ST-1608,2025-12-26T08:19:38.171553,16,8,4,0
ST-1481,2025-12-26T08:19:38.171853,39,8,4,0
ST-840,2025-12-26T08:19:38.171988,50,8,4,0
ST-1034,2025-12-26T08:19:38.171840,11,8,4,0
ST-544,2025-12-26T08:19:38.171976,3,8,4,0
ST-570,2025-12-26T08:19:38.172059,13,8,4,0
ST-475,2025-12-26T08:19:38.171761,15,8,4,0
ST-2014,2025-12-26T08:19:38.171696,9,8,4,0
ST-1768,2025-12-26T08:19:38.171549,12,8,4,0
ST-267,2025-12-26T08:19:38.171644,4,8,4,0
ST-1674,2025-12-26T08:19:38.171857,16,8,4,0
ST-2264,2025-12-26T08:19:38.171861,28,8,4,0
ST-510,2025-12-26T08:19:38.171899,1,8,4,0
ST-200,2025-12-26T08:19:38.171392,10,8,4,0
ST-1999,2025-12-26T08:19:38.171690,1,8,4,0
ST-1064,2025-12-26T08:19:38.171930,39,8,4,0
ST-829,2025-12-26T08:19:38.171913,0,8,4,0
ST-108,2025-12-26T08:19:38.171586,60,8,4,0
ST-975,2025-12-26T08:19:38.171923,16,8,4,0
ST-516,2025-12-26T08:19:38.171905,5,8,4,0
ST-186,2025-12-26T08:19:38.171507,2,8,4,0
ST-1325,2025-12-26T08:19:38.171715,13,8,4,0
ST-1062,2025-12-26T08:19:38.171925,6,8,4,0
ST-643,2025-12-26T08:19:38.172101,61,8,4,0
ST-492,2025-12-26T08:19:38.171864,9,8,4,0
ST-178,2025-12-26T08:19:38.171500,1,8,4,0
ST-1087,2025-12-26T08:19:38.172003,6,8,4,0
ST-540,2025-12-26T08:19:38.171964,56,8,4,0
ST-203,2025-12-26T08:19:38.171396,5,8,4,0
ST-1063,2025-12-26T08:19:38.171927,59,8,4,0
ST-933,2025-12-26T08:19:38.171981,2,8,4,0
ST-496,2025-12-26T08:19:38.171869,0,8,4,0
ST-362,2025-12-26T08:19:38.171619,12,8,4,0
ST-740,2025-12-26T08:19:38.171974,2,8,4,0
ST-453,2025-12-26T08:19:38.171741,40,8,4,0
ST-459,2025-12-26T08:19:38.171748,2,8,4,0
ST-2179,2025-12-26T08:19:38.171731,1,8,4,0
ST-212,2025-12-26T08:19:38.171408,21,8,4,0
ST-572,2025-12-26T08:19:38.172022,6,8,4,0
ST-2290,2025-12-26T08:19:38.172093,32,8,4,0
ST-497,2025-12-26T08:19:38.171871,7,8,4,0
ST-2182,2025-12-26T08:19:38.171733,12,8,4,0
ST-852,2025-12-26T08:19:38.172071,1,8,4,0
ST-328,2025-12-26T08:19:38.171701,27,8,4,0
ST-132,2025-12-26T08:19:38.171475,22,8,4,0
ST-238,2025-12-26T08:19:38.171599,2,8,4,0
ST-295,2025-12-26T08:19:38.171449,35,8,4,0
